AreaID,AnalysisAreaName
0,_TOD 226
1,_TOD 227
2,_TOD 228
3,_TOD 229
4,_TOD 230
5,_TOD 231
6,_TOD 232
7,_TOD 233
8,_TOD 234
9,_TOD 235
10,_TOD 236
11,_TOD 237
12,_TOD 238
13,_TOD 239
14,_TOD 240
15,_TOD 241
16,_TOD 242
17,_TOD 243
18,_TOD 244
19,_TOD 245
20,_TOD 246
21,_TOD 247
22,_TOD 248
23,_TOD 249
24,_TOD 250
25,_TOD 251
26,_TOD 252
27,_TOD 253
28,_TOD 254
29,_TOD 255
30,_TOD 256
31,_TOD 257
32,_TOD 258
33,_TOD 259
34,_TOD 260
35,_TOD 261
36,_TOD 262
37,_TOD 263
38,_TOD 264
39,_TOD 265
40,_TOD 266
41,_TOD 267
42,_TOD 268
43,_TOD 269
44,_TOD 270
45,_TOD 271
46,_TOD 272
47,_TOD 273
48,_TOD 274
49,_TOD 275
50,_TOD 276
51,_TOD 277
52,_TOD 278
53,_TOD 279
54,_TOD 280
55,_TOD 281
56,_TOD 282
57,_TOD 283
58,_TOD 284
59,_TOD 285
60,_TOD 286
61,_TOD 287
62,_TOD 288
63,_TOD 289
64,_TOD 290
65,_TOD 291
66,_TOD 292
67,_TOD 293
68,_TOD 294
69,_TOD 295
70,_TOD 296
71,_TOD 297
72,_TOD 298
73,_TOD 299
74,_TOD 300
75,_TOD 301
76,_TOD 302
77,_TOD 303
78,_TOD 304
79,_TOD 305
80,_TOD 306
81,_TOD 307
82,_TOD 308
83,_TOD 309
84,_TOD 310
85,_TOD 311
86,_TOD 312
87,_TOD 313
88,_TOD 314
89,_TOD 315
90,_TOD 316
91,_TOD 317
92,_TOD 318
93,_TOD 319
94,_TOD 320
95,_TOD 321
96,_TOD 322
97,_TOD 323
98,_TOD 324
99,_TOD 325
100,_TOD 326
101,_TOD 327
102,_TOD 328
103,_TOD 329
104,_TOD 330
105,_TOD 331
106,_TOD 332
107,_TOD 333
108,_TOD 334
109,_TOD 335
110,_TOD 336
111,_TOD 337
112,_TOD 338
113,_TOD 339
114,_TOD 340
115,_TOD 341
116,1100 North Center
117,3500 South
118,Ballpark
119,Bingham Junction
120,Bountiful 200 West
121,Bountiful Downtown
122,Brigham City Forest Street
123,Brigham City Main Street
124,Butler Park Center
125,Central Antelope Center
126,Cottonwood Heights Fort Union
127,Cottonwood Heights Highland Drive
128,Crossroads
129,Daybreak
130,Downtown Clearfield
131,Downtown Provo
132,Downtown Riverton
133,Downtown South Salt Lake
134,Downtown Springville
135,Draper City Center
136,Eagle Mountain
137,East Antelope Center
138,East Park Lane
139,Fairbourne Station
140,Five Points
141,Harrisville US 89
142,Harrisville Washington Boulevard
143,Heber Main Street
144,Herriman Olympia Hills
145,Herriman Porter Rockwell Center
146,Herriman Town
147,Highline
148,Hillcrest
149,Holladay Town Center
150,Independence
151,Jordan Bluffs
152,Jordan Landing
153,Jordan Valley
154,Kearns Boulevard Center
155,Kearns City Center
156,Kimball Junction
157,Layton Downtown
158,Layton Main Street
159,Layton Midtown
160,Meadowbrook Station
161,Meadows
162,Midland Drive - 3500 West
163,Midvale Main Street
164,Millcreek 3300 South
165,Millcreek City Center
166,Morgan Main Street
167,Mountain Green Town Center
168,Mountain View Village
169,Murray City Center
170,North Ogden Downtown
171,North Ogden Southtown
172,North Park
173,North Salt Lake Town Center
174,North Temple Center
175,North View Center
176,Ogden 12th Street
177,Ogden 25th Street
178,Ogden Downtown
179,Ogden Harrison Boulevard
180,Old Mill
181,Olympus Hills Center
182,Orem-800 North
183,Orem-Center Street
184,Park City Main Street
185,Parrish Lane Center
186,Payson Main Street
187,People's Freeway Center
188,Pleasant View 2700 North
189,Prison Site
190,Riverdale City Center
191,Rock Creek
192,Roy 1900 West
193,Roy Downtown
194,Salt Lake 900 West
195,Salt Lake City CBD
196,Salt Lake City East Downtown
197,Skyline Center
198,South Jordan Redwood Road
199,State Street Center
200,Station Park/North Station
201,Sugarhouse
202,Sunset SR 126
203,Syracuse 2000 West - North
204,Syracuse 2000 West - South
205,Syracuse City Center
206,Syracuse SR 193 Center
207,Taylorsville Expressway Center
208,Thanksgiving Point
209,The Cairns
210,Timpanogos
211,Union Park
212,University Center
213,Vineyard
214,Vista Station
215,Washington Terrace US 89
216,West Antelope Center
217,West Haven 4000 South
218,West Haven City Center
219,West Haven Midland Drive
220,West High Center
221,West Jordan City Center
222,West Ogden Center
223,West Point 2000 West
224,West Point SR 193 Center
225,West Roy Town Center
226,West Valley 5600 West
227,West Valley/Taylorsville Redwood Road Center
