ClassOrder,ClassDescription,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change,Acres_Unchanged_Percent,Acres_Redev_Percent,Acres_Dev_Percent,job_spaces_redev_percentadd,job_spaces_dev_percentadd,resunits_redev_percentadd,resunits_dev_percentadd
1.0,CRT|Metropolitan Center,250.7412208166841,6700.0,49500.0,42800.0,1000.0,15500.0,14500.0,31.0,259.0,228.0,0.5623405066508961,0.2321643159202631,0.2054951774288408,0.5209679959410637,0.4790320040589363,0.52945967978248,0.47054032021751996
2.0,LRT|Metropolitan Center,383.25320028865553,55600.0,92100.0,36500.0,3100.0,15500.0,12400.0,153.0,281.0,128.0,0.7561078635074548,0.06500901538103884,0.17888312111150634,0.25252820149485766,0.7474717985051423,0.2662330268072712,0.7337669731927289
3.0,NONTOD|Metropolitan Center,299.47509924129923,11400.0,29000.0,17600.0,2300.0,10000.0,7700.0,46.0,130.0,84.0,0.6488707625291478,0.23123846104152868,0.1198907764293235,0.6334353712484699,0.3665646287515301,0.6556980669954199,0.3443019330045801
4.0,CRT|Urban Center,1051.5777033465204,21400.0,57200.0,35800.0,1600.0,19900.0,18300.0,22.0,73.0,51.0,0.7034157982051995,0.056391981262524316,0.24019222053227618,0.17267996287690932,0.8273200371230907,0.18691256346070337,0.8130874365392966
5.0,LRT|Urban Center,535.7984090235279,13500.0,28700.0,15200.0,3000.0,11300.0,8300.0,31.0,75.0,44.0,0.7351727730212538,0.0973962788297448,0.16743094814900142,0.31055034603794035,0.6894496539620596,0.3654014305432088,0.6345985694567913
6.0,NONTOD|Urban Center,9447.78679019363,156700.0,323100.0,166400.0,27200.0,113200.0,86000.0,19.0,46.0,27.0,0.738076580610378,0.04858731717115415,0.21333610221846785,0.16226044266088407,0.8377395573391159,0.1753121744455448,0.8246878255544552
7.0,CRT|City Center,380.0353592782778,1300.0,13800.0,12500.0,200.0,9800.0,9600.0,4.0,62.0,58.0,0.3417680831480716,0.040296866940982,0.6179350499109464,0.03714564418408047,0.9628543558159196,0.06070924490151018,0.9392907550984898
8.0,LRT|City Center,1078.0139959741336,12500.0,37400.0,24900.0,2100.0,22400.0,20300.0,13.0,55.0,42.0,0.5058035447471025,0.14953534801122711,0.3446611072416703,0.2388012340931219,0.7611987659068781,0.29802133716613083,0.7019786628338691
9.0,NONTOD|City Center,18949.01886816249,163200.0,318300.0,155100.0,33300.0,184600.0,151300.0,10.0,27.0,17.0,0.6118135329645044,0.04969630207041954,0.3384901649650761,0.07690731390358777,0.9230926860964122,0.12102543635565852,0.8789745636443413
10.0,CRT|NA,1023.6709333539098,4200.0,10500.0,6300.0,2000.0,9900.0,7900.0,6.0,20.0,14.0,0.6300987225729594,0.050040256379603035,0.31986102104743747,0.0680987648152079,0.9319012351847922,0.13008089664444827,0.8699191033555517
11.0,LRT|NA,2975.0015262771603,37500.0,50300.0,12800.0,8200.0,25500.0,17300.0,15.0,25.0,10.0,0.7171506702052547,0.09541472238832767,0.18743460740641757,0.21313770243546226,0.7868622975645377,0.32183997689629884,0.6781600231037012
66.0,,36374.37310595629,483900.0,1009900.0,526000.0,84000.0,437500.0,353500.0,16.0,40.0,24.0,0.6537252403782831,0.05982787566687352,0.2864468839548434,0.19411974653067027,0.8058802534693297,0.19540511493389834,0.8045948850661017
